id,type,name,discipline,builderEligible,interfaces,attributes
shimano-grx-fc-rx810-1-170mm,Crankset,Shimano GRX FC-RX810-1 170mm,gravel,TRUE,"{""spindle"":""Hollowtech_II_24mm"",""speeds"":11,""configuration"":""1x""}","{""brand"":""Shimano"",""teeth"":""40"",""weight_g"":710,""price"":155,""category"":""GRAVEL""}"
shimano-grx-fc-rx810-1-172-5mm,Crankset,Shimano GRX FC-RX810-1 172.5mm,gravel,TRUE,"{""spindle"":""Hollowtech_II_24mm"",""speeds"":11,""configuration"":""1x""}","{""brand"":""Shimano"",""teeth"":""40"",""weight_g"":720,""price"":155,""category"":""GRAVEL""}"
shimano-grx-fc-rx810-1-175mm,Crankset,Shimano GRX FC-RX810-1 175mm,gravel,TRUE,"{""spindle"":""Hollowtech_II_24mm"",""speeds"":11,""configuration"":""1x""}","{""brand"":""Shimano"",""teeth"":""40"",""weight_g"":730,""price"":155,""category"":""GRAVEL""}"
shimano-grx-fc-rx810-1-42t-170mm,Crankset,Shimano GRX FC-RX810-1 42t 170mm,gravel,TRUE,"{""spindle"":""Hollowtech_II_24mm"",""speeds"":11,""configuration"":""1x""}","{""brand"":""Shimano"",""teeth"":""42"",""weight_g"":715,""price"":155,""category"":""GRAVEL""}"
sram-force1-gxp-170mm-40t,Crankset,SRAM Force1 GXP 170mm 40t,multi,TRUE,"{""spindle"":""GXP"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""40"",""weight_g"":660,""price"":295,""category"":""GRAVEL""}"
sram-force1-gxp-170mm-42t,Crankset,SRAM Force1 GXP 170mm 42t,multi,TRUE,"{""spindle"":""GXP"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""42"",""weight_g"":665,""price"":295,""category"":""GRAVEL""}"
sram-force1-gxp-172-5mm-40t,Crankset,SRAM Force1 GXP 172.5mm 40t,multi,TRUE,"{""spindle"":""GXP"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""40"",""weight_g"":665,""price"":295,""category"":""GRAVEL""}"
sram-force1-bb30-170mm-40t,Crankset,SRAM Force1 BB30 170mm 40t,multi,TRUE,"{""spindle"":""BB30"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""40"",""weight_g"":640,""price"":295,""category"":""GRAVEL""}"
sram-rival1-gxp-170mm-38t,Crankset,SRAM Rival1 GXP 170mm 38t,multi,TRUE,"{""spindle"":""GXP"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""38"",""weight_g"":720,""price"":185,""category"":""GRAVEL""}"
sram-rival1-gxp-170mm-40t,Crankset,SRAM Rival1 GXP 170mm 40t,multi,TRUE,"{""spindle"":""GXP"",""speeds"":11,""configuration"":""1x""}","{""brand"":""SRAM"",""teeth"":""40"",""weight_g"":725,""price"":185,""category"":""GRAVEL""}"
